持股人,公司,分数
76,15,-6.457614
38,83,-1.3505524
35,51,-1.8036166
96,66,-2.0752208
97,3,-5.595378
135,87,-3.1821892
139,28,-3.8278751
139,56,-3.1821887
104,79,-3.8743021
52,0,-3.588053
4,72,2.2938166
1,40,-6.6411676
5,9,-56.206448
60,13,-5.241819
117,87,-3.1821852
152,25,-3.1821854
76,53,-3.1821868
73,21,-3.182185
9,84,-3.1821895
17,69,-3.1821887
31,78,-2.4012785
132,23,-3.9590507
9,89,-3.086322
13,58,-1.5599971
47,52,-29.678368
105,35,-14.501807
147,88,-15.562331
113,20,-3.182185
68,45,-4.81196
131,86,-12.006971
89,33,-18.906677
127,75,-3.1821868
85,22,-3.1821876
47,90,0.058073297
44,58,-1.5600009
93,7,-0.74676406
29,70,-3.1821828
26,38,-53.41089
40,19,-2.8794708
106,10,-78.55549
113,86,-12.006964
145,3,-5.595378
148,35,-14.501805
48,32,-25.207216
148,63,-1.7138822
69,20,-3.1821868
128,22,-3.1821918
157,21,-3.182185
101,34,-42.035458
22,65,-6.927643
56,59,-1.8580544
114,42,-4.680981
122,27,-4.471129
122,55,-3.1821847
125,87,-3.18219
77,52,-29.67837
81,21,-3.1821892
141,2,-124.973404
98,40,-6.64117
36,18,4.6265717
32,77,0.16348253
36,46,-5.0371084
17,89,-3.086324
14,57,-3.1821828
94,29,-2.0838342
133,22,-3.1821914
102,14,-15.187476
6,46,-5.0371065
136,82,-3.0124705
49,54,-46.74618
123,2,-124.97337
2,35,-14.501803
57,39,-3.1821895
153,20,-3.1821868
78,27,-4.471127
89,53,-3.1821868
137,29,-2.083836
15,4,-3.3118794
15,32,-25.207188
18,64,-1.685974
110,41,-3.240297
44,78,-2.4012804
65,66,-2.0752208
110,74,-58.243816
73,51,-1.8036166
69,40,-6.64117
66,8,-2.8735886
129,21,-3.182185
86,59,-1.8580563
90,28,-3.827871
129,49,-8.561956
158,20,-3.1821826
161,52,-29.678368
161,80,-2.5611286
45,25,-3.1821895
41,84,-3.1821895
45,53,-3.1821868
27,5,-3.9930787
23,64,-1.6859695
27,33,-18.90668
145,61,-11.964684
145,89,-3.086324
66,46,-5.0371103
82,20,-3.1821892
162,27,-4.4711328
158,86,-12.006965
6,83,-1.3505505
37,45,-4.811957
98,60,-1.4212589
95,28,-3.827873
137,81,-3.1821868
27,71,-7.9478555
24,39,-3.1821895
119,48,-34.59207
141,22,-3.1821876
53,85,-1.9399114
3,34,-42.035454
74,73,-2.8227296
